# 来自 rime_kaomoji_dict (https://github.com/aoguai/rime_kaomoji_dict)
# 整理为不重复的 关键词<TAB>颜文字；同一关键词可对应多个颜文字
qi chuang	(o￣ω￣)○))ｏ(＿＿*)Ｚｚｚ[推推~起床啦!]
qi chuang	(o￣Д￣)＜起床! ※=0,○☆(＿＿*)Ｚｚｚ
kun si le	(p.-)(p.-)(p.-)
困死了	(p.-)(p.-)(p.-)
xing fen	(p≧w≦q)
兴奋	(p≧w≦q)
hao de	(u‿ฺu✿ฺ)
hao di	(u‿ฺu✿ฺ)
好滴	(u‿ฺu✿ฺ)
好的	(u‿ฺu✿ฺ)
流汗	(|||^ヮ^)
流汗	(|||ˇヮˇ)
流汗	(|||ﾟДﾟ)
惊呆了	(|||ﾟдﾟ)
jian jj	( *・ω・)✄╰ひ╯
shui jiao	(¦3ꇤ[▓▓]
huai yi	(¬_¬)
qie	(¬､¬)
dang ran	(¯^¯ )
小鱼	(°)#))<<
ke dou	(°°)～　(°°)～　(°°)～　(°°)～
一群蝌蚪	(°°)～　(°°)～　(°°)～　(°°)～
e	(°ー°〃)
leng zhu	(°ー°〃)
愣住	(°ー°〃)
xia mi	(°ー°〃=)>
嘤嘤	(´-ω-`)
扇耳光	(´∀((☆ミつ
happy	(´▽`ʃ♡ƪ)
ei	(´◔౪◔)۶
kun le	(´ぅω・｀)
ha	(´・ω・`)
哭	(´；ω；`)
发呆	(´･_･`)
唉	(´･Д･)」
xiao	(´･◡･｀)
qing mie	(´ｰ∀ｰ`)
轻蔑	(´ｰ∀ｰ`)
惊讶	(´ﾟДﾟ`)
shi hua	(ˉ▽ˉ；)...[石化ing~]
bei fa xian le	(ˉ▽ˉ；)[呃~被发现了......]
qie	(ˉ▽￣～) 切~~
切	(ˉ▽￣～) 切~~
heng	(ε－ )
lei	(ρ_・).。
累	(ρ_・).。
zhe yang a	(σ-σ)
shi bu shi ni	(σ｀д′)σ
是不是你	(σ｀д′)σ
指你	(σﾟдﾟ)σ
quan	(Д゜(○=0,(゜ 皿゜)=0,○)゜Д゜)
ku	(٥﹏٥` )
love	(੭ु ›ω‹ )੭ु⁾⁾♡
jia you	(ง •_•)ง
加油	(ง •_•)ง
chun ku	(๐॔˃̶ᗜ˂̶๐॓)
蠢哭	(๐॔˃̶ᗜ˂̶๐॓)
e	(๑-﹏-๑)
man zu	(๑¯∀¯๑)
满足	(๑¯∀¯๑)
hao chi	(๑´ڡ`๑)
bu kai xin	(๑´╹‸╹`๑)
le	(๑´ㅂ`๑)
乐害羞	(๑´ㅂ`๑)
bang	(๑•̀ㅂ•́)و✧
棒	(๑•̀ㅂ•́)و✧
棒棒哒	(๑•̀ㅂ•́)و✧
可爱	(๑•́ ₃ •̀๑)
wu	(๑′°︿°๑)
盯	(๑◔‿◔๑)
可爱	(๑❛ᴗ❛๑)
卖萌的猫	(๑￫ܫ￩)
盯	(•̀⌄•́）
shen me shi	(‧_‧？)
shuai	(′д｀ )…彡…彡
shui	(′д｀ )…彡…彡[衰]
gao zhuang	(′д｀σ)σ [告状]
zheng yi	(′┏▽┓`●)
hai xiu	(′▽`〃)
害羞	(′▽`〃)
bi mao	(′゜c_，゜` ) [鼻毛]
da bi zi	(′台｀ ) [大鼻子]
jiao ao	(‾◡◝)
骄傲	(‾◡◝)
wei guan	(← ← )围观！
huai yi	(→_→)
le he	(≧∀≦)ゞ
乐呵呵	(≧∀≦)ゞ
wo shou	(≧∀≦*)ﾉ
ya da	(≧∀≦*)ﾉ
hao xi huan	(≧∇≦)ﾉ
喜欢	(≧∇≦)ﾉ
o	(⊙o⊙)？
bi zui	(⊙x⊙;)
闭嘴	(⊙x⊙;)
jing	(⊙ˍ⊙)
惊	(⊙ˍ⊙)
e	(⊙﹏⊙)
eee	(⊙﹏⊙)
呃呃呃	(⊙﹏⊙)
ji zhang	(┘￣︶￣)┘└(￣︶￣└)[GiveMeFive!]
die	(┬＿┬)↘
跌倒	(┬＿┬)↘
lei	(┳＿┳)...
ying ying ying	(┳＿┳)...
